assembly	biosample	coverage	organism	strain	human_related	collection_date	country	city	assembly_source	genome_size	gc_content	n_count	contig_count	longest_contig	N50	N95	busco_complete_perc	kraken2_taxid	kraken2_taxon_name	kraken2_taxid_freq	mlst	mlst_genes_detected	k_serotype	k_confidence	oc_serotype	oc_confidence	aminoglycoside	beta_lactam	colistin	fosfomycin	fusidicacid	glycopeptide	macrolide	misc	nitroimidazole	oxazolidinone	phenicol	pseudomonicacid	quinolone	rifampicin	sulphonamide	tetracycline	trimethoprim	carO	ISAba1	blaOXA51like	carbapenem	fluoroquinolone	crab	qc_pass	continent	region23	country_iso2c	serotype	collection_day	collection_year	filtered	downsampled
GCA_016487905.1	SAMN14867410	130	Acinetobacter baumannii	MS14421	TRUE	2016	Australia	brisbane	NCBI	4008993	0.391	0	230	134084	37046	5673	99.7	470	Acinetobacter baumannii	84.35	ST2	7	KL12	Good	OCL1	Very high	aac(6')-Ib|aadA1|aadA24|aph(3'')-Ib|aph(3')-Ia|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66					mph(E)|msr(E)				catB8				sul1|sul2			TRUE	FALSE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Oceania	Australia and New Zealand	AU	ST2-KL12	2016-09-18	2016	TRUE	TRUE
GCA_016487965.1	SAMN14867411	128	Acinetobacter baumannii	MS14422	TRUE	2016	Australia	brisbane	NCBI	4032739	0.391	0	230	169895	35723	5595	99.8	470	Acinetobacter baumannii	86.09	ST2	7	KL12	Good	OCL1	Very high	aac(6')-Ib|aadA1|aph(3'')-Ib|aph(3')-Ia|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66					mph(E)|msr(E)				catB8				sul1|sul2			TRUE	FALSE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Oceania	Australia and New Zealand	AU	ST2-KL12	2016-03-09	2016	TRUE	TRUE
GCA_023588445.1	SAMN28744671	57	Acinetobacter baumannii		TRUE	2019-04-16	Australia		NCBI	4237288	0.391	0	168	166553	63721	7996	99.6	470	Acinetobacter baumannii	82.74	ST25	7	KL116	Good	OCL6	Very high	aac(3)-IIa|aac(6')-Ian|aph(3'')-Ib|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-64|blaPER-7					mph(E)|msr(E)				cmlA1			ARR-2	sul1|sul2	tet(B)		TRUE	FALSE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Oceania	Australia and New Zealand	AU	ST25-KL116	2019-04-16	2019	TRUE	TRUE
GCA_023667945.1	SAMN27378542	97.01	Acinetobacter baumannii	SDL40	TRUE	2020-02-06	Bangladesh		NCBI	3962192	0.389	0	191	301387	65352	7370	97.7	470	Acinetobacter baumannii	81.68	ST623	7	KL161	Good	OCL5	High	ant(2'')-Ia|aph(3'')-Ib|aph(3')-VIa|aph(6)-Id	blaADC-25|blaOXA-23|blaOXA-371					mph(E)|msr(E)				floR							TRUE	FALSE	FALSE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Asia	Southern Asia	BD	ST623-KL161	2020-02-05	2020	TRUE	TRUE
GCA_024160225.1	SAMN27378538	122.4	Acinetobacter baumannii	SDL03	TRUE	2019-07-29	Bangladesh		NCBI	3904383	0.391	0	88	295606	129591	25020	97.2	470	Acinetobacter baumannii	76.14	ST1	7	KL17	High	OCL1	High	aac(3)-Ia|aadA1|aph(3'')-Ib|aph(3')-Ia|aph(3')-VIa	blaADC-25|blaOXA-23|blaOXA-69													sul1|sul2	tet(B)	dfrA1	TRUE	FALSE	TRUE	blaOXA-23-like	gyrAS81L	TRUE	TRUE	Asia	Southern Asia	BD	ST1-KL17	2019-07-29	2019	TRUE	TRUE
GCF_021460555.1	SAMN22108555	100	Acinetobacter baumannii	MIN-005	TRUE	2016-12-12	Bangladesh		NCBI	4159863	0.391	0	12	3525656	3525656	431473	99.7	470	Acinetobacter baumannii	91.67	ST23	7	KL8	Very high	OCL2	Very high	aac(3)-IId|aph(3')-VIa	blaADC-25|blaNDM-1|blaOXA-68					mph(E)|msr(E)				cmlB1					tet(39)		TRUE	FALSE	TRUE	blaNDM-1	gyrAS81L|parCS84L	TRUE	TRUE	Asia	Southern Asia	BD	ST23-KL8	2016-12-11	2016	TRUE	TRUE
GCF_022395455.1	SAMN25894935	32	Acinetobacter baumannii	NGCE1011	TRUE	2020-11-11	Bangladesh	dhaka	NCBI	3941223	0.388	0	86	260440	122061	20786	99.8	470	Acinetobacter baumannii	82.56	ST2	7	KL2	Very high	OCL1	Very high	aph(3'')-Ib|aph(3')-Ia|aph(3')-VIa|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A					mph(E)|msr(E)									tet(B)		TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Asia	Southern Asia	BD	ST2-KL2	2020-11-11	2020	TRUE	TRUE
GCF_022395655.1	SAMN25894931	25	Acinetobacter baumannii	NGCE1004	TRUE	2020-11-09	Bangladesh	dhaka	NCBI	3941505	0.388	0	76	260440	140356	21904	99.8	470	Acinetobacter baumannii	82.89	ST2	7	KL2	Very high	OCL1	Very high	aph(3'')-Ib|aph(3')-Ia|aph(3')-VIa|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A					mph(E)|msr(E)									tet(B)		TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Asia	Southern Asia	BD	ST2-KL2	2020-11-08	2020	TRUE	TRUE
GCF_022395695.1	SAMN25894927	27	Acinetobacter baumannii	NGCE925	TRUE	2019-11-01	Bangladesh	dhaka	NCBI	3902546	0.389	0	138	213670	71877	8974	99.7	470	Acinetobacter baumannii	91.3	ST575	7	KL13	Very high	OCL2	Good	ant(2'')-Ia|aph(3')-VIa	blaADC-25|blaCARB-2|blaOXA-144|blaOXA-23|blaPER-7					mph(E)|msr(E)								sul1	tet(39)		TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Asia	Southern Asia	BD	ST575-KL13	2019-11-01	2019	TRUE	TRUE
GCF_022395735.1	SAMN25894926	40	Acinetobacter baumannii	NGCE924	TRUE	2019-10-28	Bangladesh	dhaka	NCBI	3787997	0.389	0	133	188822	65125	11839	98.9	470	Acinetobacter baumannii	81.2	ST23	7	KL8	Very high	OCL2	Very high	aac(6')-Ib-Hangzhou|ant(2'')-Ia	blaADC-25|blaOXA-23|blaOXA-68|blaVEB-7												ARR-3	sul1	tet(39)|tet(A)		TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Asia	Southern Asia	BD	ST23-KL8	2019-10-28	2019	TRUE	TRUE
GCF_022395795.1	SAMN25894925	50	Acinetobacter baumannii	NGCE923	TRUE	2019-11-10	Bangladesh	dhaka	NCBI	3989129	0.391	0	80	361437	114427	28901	99.8	470	Acinetobacter baumannii	77.5	ST1	7	KL17	Good	OCL1	Very high	aac(3)-Ia|aph(3'')-Ib|aph(3')-Ia|aph(3')-VIa	blaADC-25|blaNDM-1|blaOXA-23|blaOXA-69													sul1|sul2	tet(B)	dfrA1	TRUE	TRUE	TRUE	blaNDM-1|blaOXA-23-like	gyrAS81L	TRUE	TRUE	Asia	Southern Asia	BD	ST1-KL17	2019-11-10	2019	TRUE	TRUE
GCF_022467255.1	SAMN25131674	200	Acinetobacter baumannii	AB233-VUB	TRUE	2017	Belgium		NCBI	3871059	0.391	0	1	3871059	3871059	3871059	99.4	470	Acinetobacter baumannii	100	ST2	7	KL3	Very high	OCL1	Very high	aph(3'')-Ib|aph(6)-Id	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A														tet(B)		TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Europe	Western Europe	BE	ST2-KL3	2017-06-03	2017	TRUE	TRUE
GCF_022468565.1	SAMN25131660	200	Acinetobacter baumannii	AB212-VUB	TRUE	2017	Belgium		NCBI	3922329	0.391	0	1	3922329	3922329	3922329	99.7	470	Acinetobacter baumannii	100	ST2	7	KL2	Very high	OCL1	Very high	aac(3)-Ia|aadA1|aph(3'')-Ib|aph(3')-Ia|aph(6)-Id	blaADC-25|blaOXA-58|blaOXA-66													sul1|sul2	tet(B)		TRUE	TRUE	TRUE	blaOXA-58-like	gyrAS81L|parCS84L	TRUE	TRUE	Europe	Western Europe	BE	ST2-KL2	2017-03-26	2017	TRUE	TRUE
GCF_003584485.1	SAMN09951330	76	Acinetobacter baumannii	MC29	TRUE	2016-02	Bolivia	cochabamba	NCBI	4249136	0.389	0	171	189976	67670	10053	99.7	470	Acinetobacter baumannii	84.8	ST25	7	KL33	Very high	OCL5	Good	aac(3)-IIa|aac(6')-Ian|aph(3'')-Ib|aph(6)-Id	blaADC-25|blaOXA-23|blaOXA-64													sul2	tet(B)		TRUE	FALSE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Americas	South America	BO	ST25-KL33	2016-02-22	2016	TRUE	TRUE
GCF_003596235.1	SAMN09951322	107	Acinetobacter baumannii	MC14	TRUE	2016-03	Bolivia	cochabamba	NCBI	4190224	0.389	0	234	139081	45665	6548	99.8	470	Acinetobacter baumannii	91.88	ST25	7	KL33	Very high	OCL5	Good	aac(3)-IIa|aac(6')-Ian|aph(3'')-Ib|aph(6)-Id	blaADC-25|blaOXA-23|blaOXA-64													sul2	tet(B)		TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Americas	South America	BO	ST25-KL33	2016-03-28	2016	TRUE	TRUE
Aci153		97.47	Acinetobacter baumannii		TRUE	2017	Bosnia and Herzegovina	banja_luka	This study	4018093	0.389	870	61	370554	162326	26719	99.8	470	Acinetobacter baumannii	88.52	ST2	7	KL3	Very high	OCL1	Very high	aac(3)-Ia|aadA1|aph(3'')-Ib|aph(3')-VIa|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66					mph(E)|msr(E)				catA1				sul1	tet(B)		TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Europe	Southern Europe	BA	ST2-KL3	2017-01-23	2017	TRUE	TRUE
GCF_004347305.1	SAMN10797507	77	Acinetobacter baumannii	521_17	TRUE	2017	Brazil	sao_paulo	NCBI	3834411	0.389	0	57	319335	127470	26901	99.3	470	Acinetobacter baumannii	94.74	ST1	7	KL18	High	OCL1	Perfect	aac(6')-Ib|aph(3')-VIa	blaADC-25|blaOXA-23|blaOXA-69					mph(E)|msr(E)				cmlB1							TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Americas	South America	BR	ST1-KL18	2017-09-28	2017	TRUE	TRUE
GCF_009829535.1	SAMN13622372	67	Acinetobacter baumannii	A-71.191	TRUE	2016	Brazil		NCBI	3972870	0.389	0	98	210331	76431	11942	99.8	470	Acinetobacter baumannii	97.96	ST79	7	KL210	Good	OCL10	Good	aadA1|aph(3'')-Ib|aph(6)-Id	blaADC-25|blaOXA-65|blaOXA-72|blaTEM-1A					mph(E)|msr(E)				cmlB1|floR						dfrA1	TRUE	FALSE	TRUE	blaOXA-40-like	gyrAS81L	TRUE	TRUE	Americas	South America	BR	ST79-KL210	2016-11-25	2016	TRUE	TRUE
GCF_012781995.1	SAMN14420901	110	Acinetobacter baumannii	414.17	TRUE	2017	Brazil	sao_paulo	NCBI	4011108	0.39	0	106	240245	107048	19724	99.5	470	Acinetobacter baumannii	80.19	ST15	7	KL235	Good	OCL7	Very high	aac(3)-IIa|aac(6')-Ian|aph(3'')-Ib|aph(6)-Id	blaADC-25|blaOXA-23|blaOXA-51|blaTEM-1A													sul2	tet(B)		TRUE	FALSE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Americas	South America	BR	ST15-KL235	2017-12-13	2017	TRUE	TRUE
GCF_015536875.1	SAMN14911908	687.184	Acinetobacter baumannii	180_17	TRUE	2017	Brazil	sao_paulo	NCBI	4083096	0.389	0	148	238613	95176	14647	99.7	470	Acinetobacter baumannii	85.14	ST79	7	KL9	Very high	OCL10	Good	aadA1|aph(3'')-Ib|aph(3')-VIa|aph(6)-Id	blaADC-25|blaOXA-23|blaOXA-65|blaTEM-1A					mph(E)|msr(E)				cmlB1|floR				sul2		dfrA1	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L	TRUE	TRUE	Americas	South America	BR	ST79-KL9	2017-03-26	2017	TRUE	TRUE
GCF_015536955.1	SAMN14911900	810.051	Acinetobacter baumannii	403_16	TRUE	2016	Brazil	sao_paulo	NCBI	3998282	0.389	482	160	443525	116089	13933	99.8	470	Acinetobacter baumannii	76.25	ST79	7	KL210	Very high	OCL10	Good	aadA1|aph(3'')-Ib|aph(6)-Id	blaADC-25|blaOXA-65|blaOXA-72|blaTEM-1A									cmlB1|floR				sul2		dfrA1	TRUE	TRUE	TRUE	blaOXA-40-like	gyrAS81L	TRUE	TRUE	Americas	South America	BR	ST79-KL210	2016-10-26	2016	TRUE	TRUE
GCF_015536965.1	SAMN14911901	424.257	Acinetobacter baumannii	162_17	TRUE	2017	Brazil	sao_paulo	NCBI	4149490	0.39	0	116	253275	115943	15544	99.7	470	Acinetobacter baumannii	81.9	ST730	7	KL22	High	OCL10	Good	aac(3)-Ia|aph(3'')-Ib|aph(3')-Ia|aph(3')-VIa	blaADC-25|blaOXA-65|blaOXA-72|blaTEM-1A					mph(E)|msr(E)				cmlB1|floR				sul1|sul2		dfrA1	TRUE	TRUE	TRUE	blaOXA-40-like	gyrAS81L	TRUE	TRUE	Americas	South America	BR	ST730-KL22	2017-09-17	2017	TRUE	TRUE
GCF_015537095.1	SAMN14911895	677.657	Acinetobacter baumannii	512_16	TRUE	2016	Brazil	sao_paulo	NCBI	4127615	0.389	288	215	189176	95457	8506	99.8	470	Acinetobacter baumannii	70.23	ST79	7	KL49	Very high	OCL10	Good	aadA1|aph(3'')-Ib|aph(3')-VIa|aph(6)-Id	blaADC-25|blaOXA-65|blaOXA-72|blaTEM-1A					mph(E)|msr(E)				cmlB1|floR				sul2		dfrA1	TRUE	TRUE	TRUE	blaOXA-40-like	gyrAS81L	TRUE	TRUE	Americas	South America	BR	ST79-KL49	2016-04-24	2016	TRUE	TRUE
GCF_015537125.1	SAMN14911894	612.111	Acinetobacter baumannii	399_16	TRUE	2016	Brazil	sao_paulo	NCBI	3929517	0.391	387	80	479014	160622	23325	99.7	470	Acinetobacter baumannii	86.25	ST15	7	KL22	Very high	OCL7	Very high	aph(3')-VIa	blaADC-25|blaOXA-23|blaOXA-51					mph(E)|msr(E)											TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Americas	South America	BR	ST15-KL22	2016-11-07	2016	TRUE	TRUE
GCF_015537155.1	SAMN14911893	402.029	Acinetobacter baumannii	213_16	TRUE	2016	Brazil	presidente_prudente	NCBI	4151380	0.389	285	136	591944	135506	13935	99.7	470	Acinetobacter baumannii	86.03	ST79	7	KL9	Very high	OCL10	Good	aadA1|aph(3'')-Ib|aph(3')-VIa	blaADC-25|blaOXA-23|blaOXA-65|blaTEM-1A									cmlB1|floR				sul2		dfrA1	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L	TRUE	TRUE	Americas	South America	BR	ST79-KL9	2016-05-29	2016	TRUE	TRUE
GCF_015537245.1	SAMN14911887	370.748	Acinetobacter baumannii	212_16	TRUE	2016	Brazil	presidente_prudente	NCBI	4322058	0.39	95	79	360446	201385	23405	99.8	470	Acinetobacter baumannii	77.22	ST25	7	KL139	Good	OCL10	Good	aph(3'')-Ib|aph(3')-VIa|aph(6)-Id	blaADC-25|blaOXA-23|blaOXA-64|blaOXA-72					mph(E)|msr(E)				cmlB1				sul2	tet(B)		TRUE	FALSE	TRUE	blaOXA-23-like|blaOXA-40-like	gyrAS81L|parCS84L	TRUE	TRUE	Americas	South America	BR	ST25-KL139	2016-03-18	2016	TRUE	TRUE
GCF_015537275.1	SAMN14911888	448.021	Acinetobacter baumannii	398_16	TRUE	2016	Brazil	sao_paulo	NCBI	4036999	0.39	392	164	227643	73696	10049	99.8	470	Acinetobacter baumannii	81.71	ST79	7	KL49	Very high	OCL10	Good	aadA1|aph(3'')-Ib|aph(6)-Id	blaADC-25|blaOXA-65|blaOXA-72|blaTEM-1A					mph(E)|msr(E)				cmlB1|floR				sul2		dfrA1	TRUE	TRUE	TRUE	blaOXA-40-like	gyrAS81L	TRUE	TRUE	Americas	South America	BR	ST79-KL49	2016-03-23	2016	TRUE	TRUE
GCF_015537285.1	SAMN14911885	573.302	Acinetobacter baumannii	26_17	TRUE	2017	Brazil	sao_paulo	NCBI	3856582	0.391	291	66	703015	320534	50569	99.7	470	Acinetobacter baumannii	54.55	ST1	7	KL1	Very high	OCL1	Perfect	aac(3)-Ia|aac(6')-Ib|aadA1|aph(3')-Ia	blaADC-25|blaOXA-23|blaOXA-69									cmlB1				sul1			TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Americas	South America	BR	ST1-KL1	2017-04-19	2017	TRUE	TRUE
GCF_015537295.1	SAMN14911884	584.048	Acinetobacter baumannii	837_16	TRUE	2016	Brazil	sao_paulo	NCBI	4109155	0.389	289	170	421473	123218	13189	99.6	470	Acinetobacter baumannii	86.47	ST79	7	KL9	Very high	OCL10	Low	aadA1	blaADC-25|blaOXA-23|blaOXA-65|blaTEM-1A					mph(E)|msr(E)				cmlB1				sul2		dfrA1	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L	TRUE	TRUE	Americas	South America	BR	ST79-KL9	2016-04-04	2016	TRUE	TRUE
GCF_015537405.1	SAMN14911880	391.596	Acinetobacter baumannii	211_16	TRUE	2016	Brazil	presidente_prudente	NCBI	4331817	0.39	99	119	301958	139498	21500	99.8	470	Acinetobacter baumannii	57.14	ST25	7	KL139	Very high	OCL10	Good	aph(3'')-Ib|aph(3')-VIa|aph(6)-Id	blaADC-25|blaOXA-23|blaOXA-64|blaOXA-72					mph(E)|msr(E)				cmlB1				sul2	tet(B)		TRUE	FALSE	TRUE	blaOXA-23-like|blaOXA-40-like	gyrAS81L|parCS84L	TRUE	TRUE	Americas	South America	BR	ST25-KL139	2016-02-05	2016	TRUE	TRUE
GCF_015537605.1	SAMN14911870	563.618	Acinetobacter baumannii	961_16	TRUE	2016	Brazil	sao_paulo	NCBI	4144652	0.389	484	183	391050	84837	12077	99.5	470	Acinetobacter baumannii	79.23	ST79	7	KL2	Very high	OCL10	Good	aadA1|aph(3'')-Ib|aph(3')-VIa|aph(6)-Id	blaADC-25|blaOXA-65|blaOXA-72|blaTEM-1A					mph(E)|msr(E)				cmlB1|floR				sul2		dfrA1	TRUE	TRUE	TRUE	blaOXA-40-like	gyrAS81L	TRUE	TRUE	Americas	South America	BR	ST79-KL2	2016-12-09	2016	TRUE	TRUE
GCF_015537615.1	SAMN14911869	216.224	Acinetobacter baumannii	808_16	TRUE	2016	Brazil	sao_paulo	NCBI	4039217	0.389	196	154	182030	89750	11361	99.6	470	Acinetobacter baumannii	87.66	ST79	7	KL49	Very high	OCL10	Good	aadA1|aph(3'')-Ib|aph(3')-VIa|aph(6)-Id	blaADC-25|blaOXA-65|blaOXA-72|blaTEM-1A					mph(E)|msr(E)				cmlB1|floR				sul2		dfrA1	TRUE	TRUE	TRUE	blaOXA-40-like	gyrAS81L	TRUE	TRUE	Americas	South America	BR	ST79-KL49	2016-03-30	2016	TRUE	TRUE
GCF_015537665.1	SAMN14911867	132.302	Acinetobacter baumannii	484_16	TRUE	2016	Brazil	presidente_prudente	NCBI	4179649	0.39	199	116	304260	104372	16852	99.7	470	Acinetobacter baumannii	83.62	ST730	7	KL22	Good	OCL10	Good	aac(3)-Ia|aph(3')-Ia|aph(3')-VIa	blaADC-25|blaOXA-23|blaOXA-65|blaTEM-1A					mph(E)|msr(E)				cmlB1|floR				sul1|sul2		dfrA1	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L	TRUE	TRUE	Americas	South America	BR	ST730-KL22	2016-10-14	2016	TRUE	TRUE
GCF_015537675.1	SAMN14911866	670.654	Acinetobacter baumannii	366_16	TRUE	2016	Brazil	sao_paulo	NCBI	3846310	0.39	98	84	347914	143779	26682	99.7	470	Acinetobacter baumannii	64.29	ST1	7	KL18	Good	OCL1	Perfect	aac(6')-Ib	blaADC-25|blaOXA-23|blaOXA-69					mph(E)|msr(E)				cmlB1							TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Americas	South America	BR	ST1-KL18	2016-02-07	2016	TRUE	TRUE
