assembly	biosample	coverage	organism	strain	human_related	collection_date	country	city	assembly_source	genome_size	gc_content	n_count	contig_count	longest_contig	N50	N95	busco_complete_perc	kraken2_taxid	kraken2_taxon_name	kraken2_taxid_freq	mlst	mlst_genes_detected	k_serotype	k_confidence	oc_serotype	oc_confidence	aminoglycoside	beta_lactam	colistin	fosfomycin	fusidicacid	glycopeptide	macrolide	misc	nitroimidazole	oxazolidinone	phenicol	pseudomonicacid	quinolone	rifampicin	sulphonamide	tetracycline	trimethoprim	carO	ISAba1	blaOXA51like	carbapenem	fluoroquinolone	crab	qc_pass	continent	region23	country_iso2c	serotype	collection_day	collection_year	filtered	downsampled
GCA_016487905.1	SAMN14867410	130	Acinetobacter baumannii	MS14421	TRUE	2016	Australia	brisbane	NCBI	4008993	0.391	0	230	134084	37046	5673	99.7	470	Acinetobacter baumannii	84.35	ST2	7	KL12	Good	OCL1	Very high	aac(6')-Ib|aadA1|aadA24|aph(3'')-Ib|aph(3')-Ia|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66					mph(E)|msr(E)				catB8				sul1|sul2			TRUE	FALSE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Oceania	Australia and New Zealand	AU	ST2-KL12	2016-09-18	2016	TRUE	TRUE
GCA_016487965.1	SAMN14867411	128	Acinetobacter baumannii	MS14422	TRUE	2016	Australia	brisbane	NCBI	4032739	0.391	0	230	169895	35723	5595	99.8	470	Acinetobacter baumannii	86.09	ST2	7	KL12	Good	OCL1	Very high	aac(6')-Ib|aadA1|aph(3'')-Ib|aph(3')-Ia|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66					mph(E)|msr(E)				catB8				sul1|sul2			TRUE	FALSE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Oceania	Australia and New Zealand	AU	ST2-KL12	2016-03-09	2016	TRUE	TRUE
GCA_023588445.1	SAMN28744671	57	Acinetobacter baumannii		TRUE	2019-04-16	Australia		NCBI	4237288	0.391	0	168	166553	63721	7996	99.6	470	Acinetobacter baumannii	82.74	ST25	7	KL116	Good	OCL6	Very high	aac(3)-IIa|aac(6')-Ian|aph(3'')-Ib|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-64|blaPER-7					mph(E)|msr(E)				cmlA1			ARR-2	sul1|sul2	tet(B)		TRUE	FALSE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Oceania	Australia and New Zealand	AU	ST25-KL116	2019-04-16	2019	TRUE	TRUE
GCA_023667945.1	SAMN27378542	97.01	Acinetobacter baumannii	SDL40	TRUE	2020-02-06	Bangladesh		NCBI	3962192	0.389	0	191	301387	65352	7370	97.7	470	Acinetobacter baumannii	81.68	ST623	7	KL161	Good	OCL5	High	ant(2'')-Ia|aph(3'')-Ib|aph(3')-VIa|aph(6)-Id	blaADC-25|blaOXA-23|blaOXA-371					mph(E)|msr(E)				floR							TRUE	FALSE	FALSE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Asia	Southern Asia	BD	ST623-KL161	2020-02-05	2020	TRUE	TRUE
GCA_024160225.1	SAMN27378538	122.4	Acinetobacter baumannii	SDL03	TRUE	2019-07-29	Bangladesh		NCBI	3904383	0.391	0	88	295606	129591	25020	97.2	470	Acinetobacter baumannii	76.14	ST1	7	KL17	High	OCL1	High	aac(3)-Ia|aadA1|aph(3'')-Ib|aph(3')-Ia|aph(3')-VIa	blaADC-25|blaOXA-23|blaOXA-69													sul1|sul2	tet(B)	dfrA1	TRUE	FALSE	TRUE	blaOXA-23-like	gyrAS81L	TRUE	TRUE	Asia	Southern Asia	BD	ST1-KL17	2019-07-29	2019	TRUE	TRUE
GCF_021460555.1	SAMN22108555	100	Acinetobacter baumannii	MIN-005	TRUE	2016-12-12	Bangladesh		NCBI	4159863	0.391	0	12	3525656	3525656	431473	99.7	470	Acinetobacter baumannii	91.67	ST23	7	KL8	Very high	OCL2	Very high	aac(3)-IId|aph(3')-VIa	blaADC-25|blaNDM-1|blaOXA-68					mph(E)|msr(E)				cmlB1					tet(39)		TRUE	FALSE	TRUE	blaNDM-1	gyrAS81L|parCS84L	TRUE	TRUE	Asia	Southern Asia	BD	ST23-KL8	2016-12-11	2016	TRUE	TRUE
GCF_022395455.1	SAMN25894935	32	Acinetobacter baumannii	NGCE1011	TRUE	2020-11-11	Bangladesh	dhaka	NCBI	3941223	0.388	0	86	260440	122061	20786	99.8	470	Acinetobacter baumannii	82.56	ST2	7	KL2	Very high	OCL1	Very high	aph(3'')-Ib|aph(3')-Ia|aph(3')-VIa|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A					mph(E)|msr(E)									tet(B)		TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Asia	Southern Asia	BD	ST2-KL2	2020-11-11	2020	TRUE	TRUE
GCF_022395655.1	SAMN25894931	25	Acinetobacter baumannii	NGCE1004	TRUE	2020-11-09	Bangladesh	dhaka	NCBI	3941505	0.388	0	76	260440	140356	21904	99.8	470	Acinetobacter baumannii	82.89	ST2	7	KL2	Very high	OCL1	Very high	aph(3'')-Ib|aph(3')-Ia|aph(3')-VIa|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A					mph(E)|msr(E)									tet(B)		TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Asia	Southern Asia	BD	ST2-KL2	2020-11-08	2020	TRUE	TRUE
GCF_022395695.1	SAMN25894927	27	Acinetobacter baumannii	NGCE925	TRUE	2019-11-01	Bangladesh	dhaka	NCBI	3902546	0.389	0	138	213670	71877	8974	99.7	470	Acinetobacter baumannii	91.3	ST575	7	KL13	Very high	OCL2	Good	ant(2'')-Ia|aph(3')-VIa	blaADC-25|blaCARB-2|blaOXA-144|blaOXA-23|blaPER-7					mph(E)|msr(E)								sul1	tet(39)		TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Asia	Southern Asia	BD	ST575-KL13	2019-11-01	2019	TRUE	TRUE
GCF_022395735.1	SAMN25894926	40	Acinetobacter baumannii	NGCE924	TRUE	2019-10-28	Bangladesh	dhaka	NCBI	3787997	0.389	0	133	188822	65125	11839	98.9	470	Acinetobacter baumannii	81.2	ST23	7	KL8	Very high	OCL2	Very high	aac(6')-Ib-Hangzhou|ant(2'')-Ia	blaADC-25|blaOXA-23|blaOXA-68|blaVEB-7												ARR-3	sul1	tet(39)|tet(A)		TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Asia	Southern Asia	BD	ST23-KL8	2019-10-28	2019	TRUE	TRUE
GCF_022395795.1	SAMN25894925	50	Acinetobacter baumannii	NGCE923	TRUE	2019-11-10	Bangladesh	dhaka	NCBI	3989129	0.391	0	80	361437	114427	28901	99.8	470	Acinetobacter baumannii	77.5	ST1	7	KL17	Good	OCL1	Very high	aac(3)-Ia|aph(3'')-Ib|aph(3')-Ia|aph(3')-VIa	blaADC-25|blaNDM-1|blaOXA-23|blaOXA-69													sul1|sul2	tet(B)	dfrA1	TRUE	TRUE	TRUE	blaNDM-1|blaOXA-23-like	gyrAS81L	TRUE	TRUE	Asia	Southern Asia	BD	ST1-KL17	2019-11-10	2019	TRUE	TRUE
GCF_022459095.1	SAMN25131649	200	Acinetobacter baumannii	AB177-VUB	TRUE	2017	Belgium		NCBI	4014141	0.389	0	1	4014141	4014141	4014141	99.6	470	Acinetobacter baumannii	100	ST85	7	KL152	High	OCL6	Very high	aph(3')-VI	blaADC-25|blaNDM-1|blaOXA-94					mph(E)|msr(E)				floR				sul2			TRUE	TRUE	TRUE	blaNDM-1	gyrAS81L|parCS84L	TRUE	TRUE	Europe	Western Europe	BE	ST85-KL152	2017-10-22	2017	TRUE	TRUE
GCF_022459135.1	SAMN25131647	200	Acinetobacter baumannii	AB175-VUB	TRUE	2017	Belgium		NCBI	3897771	0.391	0	1	3897771	3897771	3897771	99.7	470	Acinetobacter baumannii	100	ST2	7	KL2	Very high	OCL1	Very high	aph(3'')-Ib|aph(6)-Id	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A													sul2	tet(B)		TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Europe	Western Europe	BE	ST2-KL2	2017-10-05	2017	TRUE	TRUE
GCF_022459155.1	SAMN25131646	200	Acinetobacter baumannii	AB173-VUB	TRUE	2017	Belgium		NCBI	4118848	0.391	0	1	4118848	4118848	4118848	99.7	470	Acinetobacter baumannii	100	ST2	7	KL3	Very high	OCL1	Very high	aph(3'')-Ib|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66					mph(E)|msr(E)				catA1				sul1	tet(B)		TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Europe	Western Europe	BE	ST2-KL3	2017-02-22	2017	TRUE	TRUE
GCF_022467255.1	SAMN25131674	200	Acinetobacter baumannii	AB233-VUB	TRUE	2017	Belgium		NCBI	3871059	0.391	0	1	3871059	3871059	3871059	99.4	470	Acinetobacter baumannii	100	ST2	7	KL3	Very high	OCL1	Very high	aph(3'')-Ib|aph(6)-Id	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A														tet(B)		TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Europe	Western Europe	BE	ST2-KL3	2017-06-03	2017	TRUE	TRUE
GCF_022467435.1	SAMN25131672	200	Acinetobacter baumannii	AB231-VUB	TRUE	2017	Belgium		NCBI	3996446	0.39	0	1	3996446	3996446	3996446	99.6	470	Acinetobacter baumannii	100	ST215	7	KL10	Very high	OCL5	High	aac(6')-Ib|aadA1|aph(3'')-Ib|aph(3')-Ia|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-71					mph(E)|msr(E)				catB8				sul1	tet(B)		TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Europe	Western Europe	BE	ST215-KL10	2017-05-07	2017	TRUE	TRUE
GCF_022468195.1	SAMN25131664	200	Acinetobacter baumannii	AB217-VUB	TRUE	2017	Belgium		NCBI	4068658	0.39	0	1	4068658	4068658	4068658	99.8	470	Acinetobacter baumannii	100	ST2	7	KL9	Very high	OCL1	Very high	aph(3'')-Ib|aph(3')-Ia|aph(6)-Id	blaADC-25|blaOXA-23|blaOXA-66|blaOXA-73|blaTEM-1A													sul2	tet(B)		TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Europe	Western Europe	BE	ST2-KL9	2017-01-07	2017	TRUE	TRUE
GCF_022468355.1	SAMN25131662	200	Acinetobacter baumannii	AB214-VUB	TRUE	2017	Belgium		NCBI	3964332	0.39	0	1	3964332	3964332	3964332	99.8	470	Acinetobacter baumannii	100	ST2	7	KL3	Very high	OCL1	Very high	aph(3'')-Ib|aph(3')-Ia|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A					mph(E)|msr(E)									tet(B)		TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Europe	Western Europe	BE	ST2-KL3	2017-06-05	2017	TRUE	TRUE
GCF_022468565.1	SAMN25131660	200	Acinetobacter baumannii	AB212-VUB	TRUE	2017	Belgium		NCBI	3922329	0.391	0	1	3922329	3922329	3922329	99.7	470	Acinetobacter baumannii	100	ST2	7	KL2	Very high	OCL1	Very high	aac(3)-Ia|aadA1|aph(3'')-Ib|aph(3')-Ia|aph(6)-Id	blaADC-25|blaOXA-58|blaOXA-66													sul1|sul2	tet(B)		TRUE	TRUE	TRUE	blaOXA-58-like	gyrAS81L|parCS84L	TRUE	TRUE	Europe	Western Europe	BE	ST2-KL2	2017-03-26	2017	TRUE	TRUE
GCF_022468645.2	SAMN25131659	200	Acinetobacter baumannii	AB194-VUB	TRUE	2017	Belgium		NCBI	3854993	0.391	0	2	3845163	3845163	3845163	99.7	470	Acinetobacter baumannii	100	ST2	7	KL40	Very high	OCL1	Very high	aac(6')-Iaf|aph(3'')-Ib|aph(6)-Id	blaADC-25|blaOXA-66|blaOXA-72													sul1|sul2	tet(B)		TRUE	TRUE	TRUE	blaOXA-40-like	gyrAS81L|parCS84L	TRUE	TRUE	Europe	Western Europe	BE	ST2-KL40	2017-12-14	2017	TRUE	TRUE
GCF_022468755.1	SAMN25131658	200	Acinetobacter baumannii	AB193-VUB	TRUE	2017	Belgium		NCBI	3905527	0.39	0	1	3905527	3905527	3905527	99.4	470	Acinetobacter baumannii	100	ST2	7	KL40	Very high	OCL2	None	aph(3'')-Ib|aph(3')-Ia|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A														tet(B)		TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Europe	Western Europe	BE	ST2-KL40	2017-03-17	2017	TRUE	TRUE
GCF_022468835.2	SAMN25131656	200	Acinetobacter baumannii	AB188-VUB	TRUE	2017	Belgium		NCBI	3856643	0.392	0	2	3846813	3846813	3846813	99.7	470	Acinetobacter baumannii	100	ST636	7	KL40	Very high	OCL2	High	aac(3)-Ia|aadA1|aph(3')-Ia	blaADC-25|blaOXA-66|blaOXA-72									catA1				sul1			TRUE	TRUE	TRUE	blaOXA-40-like	gyrAS81L|parCS84L	TRUE	TRUE	Europe	Western Europe	BE	ST636-KL40	2017-09-20	2017	TRUE	TRUE
GCF_022469075.1	SAMN25131653	200	Acinetobacter baumannii	AB183-VUB	TRUE	2017	Belgium		NCBI	3997993	0.391	0	1	3997993	3997993	3997993	99.8	470	Acinetobacter baumannii	100	ST2	7	KL9	Very high	OCL1	Very high	aph(3'')-Ib|aph(3')-Ia|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A					mph(E)|msr(E)									tet(B)		TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Europe	Western Europe	BE	ST2-KL9	2017-04-19	2017	TRUE	TRUE
GCF_003584255.1	SAMN09951368	110	Acinetobacter baumannii	MC104	TRUE	2016-12	Bolivia	cochabamba	NCBI	4109502	0.39	172	240	138629	46780	5618	99.8	470	Acinetobacter baumannii	89.58	ST25	7	KL22	Good	OCL5	Good	aac(3)-IIa|aac(6')-Ian|aph(3'')-Ib|aph(6)-Id	blaADC-25|blaOXA-23|blaOXA-64													sul2	tet(B)		TRUE	FALSE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Americas	South America	BO	ST25-KL22	2016-12-15	2016	TRUE	TRUE
GCF_003584275.1	SAMN09951366	105	Acinetobacter baumannii	MC102	TRUE	2016-11	Bolivia	cochabamba	NCBI	4111658	0.39	0	173	262418	64738	7856	99.7	470	Acinetobacter baumannii	91.33	ST25	7	KL22	Good	OCL5	Good	aac(3)-IIa|aac(6')-Ian|aph(3'')-Ib|aph(6)-Id	blaADC-25|blaOXA-23|blaOXA-64													sul2	tet(B)		TRUE	FALSE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Americas	South America	BO	ST25-KL22	2016-11-12	2016	TRUE	TRUE
GCF_003584315.1	SAMN09951364	61	Acinetobacter baumannii	MC100	TRUE	2016-11	Bolivia	cochabamba	NCBI	4102467	0.391	0	230	143299	49188	5157	99.8	470	Acinetobacter baumannii	88.7	ST25	7	KL22	Good	OCL5	Good	aac(3)-IIa|aac(6')-Ian|aph(3'')-Ib|aph(6)-Id	blaADC-25|blaOXA-23|blaOXA-64													sul2	tet(B)		TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Americas	South America	BO	ST25-KL22	2016-11-26	2016	TRUE	TRUE
GCF_003584425.1	SAMN09951354	102	Acinetobacter baumannii	MC89	TRUE	2016-10	Bolivia	cochabamba	NCBI	4112356	0.39	507	167	266629	84495	9983	99.8	470	Acinetobacter baumannii	82.04	ST25	7	KL22	Good	OCL5	Very high	aac(3)-IIa|aac(6')-Ian|aph(3'')-Ib|aph(6)-Id	blaADC-25|blaOXA-23|blaOXA-64													sul2	tet(B)		TRUE	FALSE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Americas	South America	BO	ST25-KL22	2016-10-12	2016	TRUE	TRUE
GCF_003584485.1	SAMN09951330	76	Acinetobacter baumannii	MC29	TRUE	2016-02	Bolivia	cochabamba	NCBI	4249136	0.389	0	171	189976	67670	10053	99.7	470	Acinetobacter baumannii	84.8	ST25	7	KL33	Very high	OCL5	Good	aac(3)-IIa|aac(6')-Ian|aph(3'')-Ib|aph(6)-Id	blaADC-25|blaOXA-23|blaOXA-64													sul2	tet(B)		TRUE	FALSE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Americas	South America	BO	ST25-KL33	2016-02-22	2016	TRUE	TRUE
GCF_003584535.1	SAMN09951341	115	Acinetobacter baumannii	MC50	TRUE	2016-03	Bolivia	cochabamba	NCBI	4155987	0.39	0	162	177149	74680	10096	99.8	470	Acinetobacter baumannii	81.48	ST991	7	KL9	Good	OCL5	Good	aac(3)-IIa|aac(6')-Ian|aph(3'')-Ib|aph(6)-Id	blaADC-25|blaOXA-23|blaOXA-64													sul2	tet(B)		TRUE	FALSE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Americas	South America	BO	ST991-KL9	2016-03-10	2016	TRUE	TRUE
GCF_003595765.1	SAMN09951345	45	Acinetobacter baumannii	MC59	TRUE	2016-05	Bolivia	cochabamba	NCBI	3976741	0.392	393	244	158357	38004	4819	98.6	470	Acinetobacter baumannii	90.57	ST25	7	KL33	Good	OCL5	None	aac(6')-Ian	blaADC-25|blaOXA-23|blaOXA-64														tet(B)		TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Americas	South America	BO	ST25-KL33	2016-05-24	2016	TRUE	TRUE
GCF_003596235.1	SAMN09951322	107	Acinetobacter baumannii	MC14	TRUE	2016-03	Bolivia	cochabamba	NCBI	4190224	0.389	0	234	139081	45665	6548	99.8	470	Acinetobacter baumannii	91.88	ST25	7	KL33	Very high	OCL5	Good	aac(3)-IIa|aac(6')-Ian|aph(3'')-Ib|aph(6)-Id	blaADC-25|blaOXA-23|blaOXA-64													sul2	tet(B)		TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Americas	South America	BO	ST25-KL33	2016-03-28	2016	TRUE	TRUE
Aci147		99.99	Acinetobacter baumannii		TRUE	2022	Bosnia and Herzegovina	prijedor	This study	4062305	0.389	960	64	330715	158897	18454	99.8	470	Acinetobacter baumannii	92.19	ST2	7	KL3	Very high	OCL1	Very high	aac(3)-Ia|aadA1|aph(3'')-Ib|aph(3')-VIa|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66					mph(E)|msr(E)				catA1				sul1	tet(B)		TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Europe	Southern Europe	BA	ST2-KL3	2022-03-15	2022	TRUE	TRUE
Aci152		87.24	Acinetobacter baumannii		TRUE	2017	Bosnia and Herzegovina	banja_luka	This study	4030916	0.389	720	67	370457	172756	21264	99.8	470	Acinetobacter baumannii	88.06	ST2	7	KL9	Very high	OCL1	Very high	aac(3)-Ia|aadA1|aph(3'')-Ib|aph(3')-VIa|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66					mph(E)|msr(E)				catA1				sul1	tet(B)		TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Europe	Southern Europe	BA	ST2-KL9	2017-08-17	2017	TRUE	TRUE
Aci153		97.47	Acinetobacter baumannii		TRUE	2017	Bosnia and Herzegovina	banja_luka	This study	4018093	0.389	870	61	370554	162326	26719	99.8	470	Acinetobacter baumannii	88.52	ST2	7	KL3	Very high	OCL1	Very high	aac(3)-Ia|aadA1|aph(3'')-Ib|aph(3')-VIa|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66					mph(E)|msr(E)				catA1				sul1	tet(B)		TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Europe	Southern Europe	BA	ST2-KL3	2017-01-23	2017	TRUE	TRUE
GCF_004347305.1	SAMN10797507	77	Acinetobacter baumannii	521_17	TRUE	2017	Brazil	sao_paulo	NCBI	3834411	0.389	0	57	319335	127470	26901	99.3	470	Acinetobacter baumannii	94.74	ST1	7	KL18	High	OCL1	Perfect	aac(6')-Ib|aph(3')-VIa	blaADC-25|blaOXA-23|blaOXA-69					mph(E)|msr(E)				cmlB1							TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Americas	South America	BR	ST1-KL18	2017-09-28	2017	TRUE	TRUE
